nnet,dataset,tr_mean,tr_std,te_mean,te_std,mean_time,std_time
BasicNN,iris,3.446,1.1611,8.955,4.1222,0.0036,0.0021
BasicNN,wine,3.5308,1.2344,14.707,7.2558,0.0044,0.002
BasicNN,breast_cancer,2.3209,0.9176,inf,,0.0086,0.0015
BasicNN,heart,6.0301,2.2498,200431826.7346,908946107.3377,0.0085,0.0017
RandomNN,iris,2.1614,0.2495,2.2109,0.3023,0.0123,0.0022
RandomNN,wine,2.2193,0.2403,2.2444,0.2847,0.014,0.0072
RandomNN,breast_cancer,1.4265,0.1696,1.4308,0.184,0.0224,0.0039
RandomNN,heart,3.1441,0.5462,3.1494,0.5769,0.0195,0.0034
AnnealedNN,iris,4.6737,2.3406,5.7746,2.9301,0.0354,0.0084
AnnealedNN,wine,4.8446,2.6289,6.2171,3.2155,0.0383,0.0209
AnnealedNN,breast_cancer,3.4351,1.9653,4.2489,2.378,0.0481,0.0209
AnnealedNN,heart,7.1986,3.998,8.6103,4.3291,0.0425,0.0174
StrategyNN,iris,1.8687,0.0714,1.8863,0.0777,47.4002,3.2002
StrategyNN,wine,1.9274,0.0382,1.9443,0.0708,56.121,1.896
StrategyNN,breast_cancer,1.2539,0.0759,1.257,0.0855,18.4192,0.6572
StrategyNN,heart,2.3984,0.2258,2.4112,0.2363,22.7374,0.8528
GeneticNN,iris,1.4715,0.1109,1.4886,0.1432,60.3465,3.1527
GeneticNN,wine,1.7706,0.0879,1.8008,0.1156,74.1261,4.1588
GeneticNN,breast_cancer,0.9412,0.094,0.9535,0.1098,22.0058,1.0572
GeneticNN,heart,2.1512,0.074,2.1808,0.1553,27.9201,1.5063
